n,m,r,q
25,3,4.4698962707990904e-14,-4.376117795805193e-14
25,4,-3.4342545055918057e-16,1.838482464205947e-14
25,5,1.1721549833658756e-14,1.0146865058783203e-14
25,6,-4.383144858504747e-15,-3.710685022681775e-15
25,7,4.988248763418137e-15,3.0556797810513954e-15
25,8,7.333367202648638e-15,2.3397558672826775e-14
25,9,-9.881900137574985e-15,2.1899567375841478e-15
25,10,2.8046959111277397e-14,-9.44019334487606e-15
25,11,2.443113366635814e-15,2.5956478142174533e-14
25,12,-4.875625045065871e-15,-8.127153576127792e-15
25,13,1.5886098351096655e-14,-1.320984008926435e-16
25,14,-2.772278472103953e-15,1.3456584858903838e-14
25,15,2.4729704821345535e-16,-1.2545768427976131e-15
25,16,-3.5565486642359385e-15,8.406746775066831e-15
25,17,1.367435157908433e-16,1.1900035072598192e-15
25,18,4.908369851709224e-15,7.97073300710104e-15
25,19,-8.862296007028364e-15,1.4637548151657895e-14
25,20,-3.3889097673603704e-17,-9.62587836728489e-15
25,21,1.105656142899156e-14,1.3578442181240309e-14
25,22,-1.3447398989585539e-14,4.438174945704075e-15
25,23,2.0748299121897038e-15,-6.778507607208573e-15
25,24,-1.7452788631808245e-16,6.869430950825408e-15
25,25,-3.71705646407406e-15,3.5048295800319925e-15
26,0,1.593855281257426e-14,0.0
26,1,1.28171990007774e-13,9.621910965194639e-15
26,2,-9.788493626103713e-15,-3.756395599620374e-14
26,3,4.3057509405844325e-14,-4.21541623649982e-14
26,4,-3.30814042917706e-16,1.7709689710735895e-14
26,5,1.129110636215298e-14,9.774247795470336e-15
26,6,-4.222185248574174e-15,-3.574419753541246e-15
26,7,4.805068284306538e-15,2.943467878066616e-15
26,8,7.0640683401833336e-15,2.2538344104547454e-14
26,9,-9.519013022760453e-15,2.1095362646986995e-15
26,10,2.7017007388479454e-14,-9.093526764712248e-15
26,11,2.3533963741100373e-15,2.500329390304786e-14
26,12,-4.696580379476322e-15,-7.828704970916591e-15
26,13,1.5302722652493e-14,-1.272474302388044e-16
26,14,-2.6704737460696416e-15,1.296242673276203e-14
26,15,2.382157064594439e-16,-1.2085057669460336e-15
26,16,-3.425943652497905e-15,8.098030835853847e-15
26,17,1.317219653578198e-16,1.1463037194298784e-15
26,18,4.728122718148684e-15,7.678028540992797e-15
26,19,-8.53685120553778e-15,1.4100022216082367e-14
26,20,-3.2644608586765e-17,-9.272392986980608e-15
26,21,1.0650537929373297e-14,1.307980916145395e-14
26,22,-1.2953578190634612e-14,4.275194498758988e-15
26,23,1.9986371729307356e-15,-6.529584522165951e-15
26,24,-1.6811880302044556e-16,6.617168942157263e-15
26,25,-3.580557220297897e-15,3.3761238173236326e-15
26,26,1.3854379041175893e-15,6.555814748694789e-15
27,0,1.5374595203761252e-14,0.0
27,1,1.2363684997018145e-13,9.28145659873159e-15
27,2,-9.442145025689769e-15,-3.6234821597975105e-14
27,3,4.153399529941889e-14,-4.066261160198761e-14
27,4,-3.191087708770444e-16,1.7083063543383512e-14
27,5,1.0891590457557831e-14,9.428403258673336e-15
27,6,-4.0727906627073244e-15,-3.4479452084049536e-15
27,7,4.635049409213758e-15,2.8393184533570682e-15
27,8,6.814118728291434e-15,2.17408645091743e-14
27,9,-9.18219951869246e-15,2.034894040807128e-15
27,10,2.6061058183852172e-14,-8.771768342212411e-15
27,11,2.2701255899090255e-15,2.4118596402099887e-14
27,12,-4.530400157748916e-15,-7.551700039075007e-15
27,13,1.4761262773612393e-14,-1.227450041196362e-16
27,14,-2.575983737726901e-15,1.2503774101586187e-14
27,15,2.2978686340346815e-16,-1.1657449196735053e-15
27,16,-3.304722672593973e-15,7.811496282812168e-15
27,17,1.2706121569723953e-16,1.1057437820136582e-15
27,18,4.560826426342444e-15,7.406355029144204e-15
27,19,-8.234789766881357e-15,1.3601117773081823e-14
27,20,-3.1489536629121243e-17,-8.944305698353835e-15
27,21,1.0273687410141525e-14,1.261700315985733e-14
27,22,-1.2495238649531523e-14,4.123924273972422e-15
27,23,1.927918918006011e-15,-6.298546678456702e-15
27,24,-1.6217021538750082e-16,6.38303207806339e-15
27,25,-3.453865511714148e-15,3.2566656245087626e-15
27,26,1.3364166249115716e-15,6.323848794635386e-15
27,27,-8.696878092326336e-15,-2.831412126732533e-15
28,0,1.4849724885380704e-14,0.0
28,1,1.1941603557166372e-13,8.964598755292582e-15
28,2,-9.119801471264564e-15,-3.499780806386015e-14
28,3,4.01160743039387e-14,-3.9274438605244355e-14
28,4,-3.0821477855084093e-16,1.6499868156311644e-14
28,5,1.051976456716103e-14,9.106528831762284e-15
28,6,-3.933750453615539e-15,-3.330236476870255e-15
28,7,4.476814358021747e-15,2.7423875123568975e-15
28,8,6.581492853008148e-15,2.0998657359941063e-14
28,9,-8.86873019342328e-15,1.9654251885275033e-15
28,10,2.517136478217184e-14,-8.47231064713039e-15
28,11,2.192626213480052e-15,2.3295216325766875e-14
28,12,-4.3757377070193364e-15,-7.293894018734775e-15
28,13,1.4257330891894333e-14,-1.1855463627332475e-16
28,14,-2.488042729417748e-15,1.207691018701285e-14
28,15,2.21942214321277e-16,-1.1259477803647674e-15
28,16,-3.1919033873812167e-15,7.544821128985351e-15
28,17,1.2272349754251932e-16,1.0679950098852812e-15
28,18,4.405125259141168e-15,7.153510913857494e-15
28,19,-7.953663879047738e-15,1.3136791856120944e-14
28,20,-3.0414521456550104e-17,-8.638957783994474e-15
28,21,9.922955991822035e-15,1.2186273740464057e-14
28,22,-1.2068666125097444e-14,3.983138424460908e-15
28,23,1.8621020686584498e-15,-6.083521817207181e-15
28,24,-1.5663391791402613e-16,6.165122986172192e-15
28,25,-3.335954668095091e-15,3.145486949523113e-15
28,26,1.2907929574191884e-15,6.107960149357836e-15
28,27,-8.399977060934015e-15,-2.7347510982808e-15
28,28,4.933874286081812e-15,-5.999806325491762e-15
29,0,1.4359987893014233e-14,0.0
29,1,1.154777504820343e-13,8.668950474528045e-15
29,2,-8.819034677402047e-15,-3.384359669678711e-14
29,3,3.879306490633685e-14,-3.7979185959968106e-14
29,4,-2.980499990808194e-16,1.595571020943476e-14
29,5,1.0172827644134478e-14,8.806199763352646e-15
29,6,-3.8040172005927504e-15,-3.220406832978524e-15
29,7,4.3291711110253645e-15,2.6519448528078823e-15
29,8,6.364438292065621e-15,2.0306131445921215e-14
29,9,-8.576243613061595e-15,1.9006063836014697e-15
29,10,2.4341224925889646e-14,-8.192897798290014e-15
29,11,2.1203144248467996e-15,2.252695096947473e-14
29,12,-4.231427920773404e-15,-7.053344800015471e-15
29,13,1.3787130776803726e-14,-1.1464475973030823e-16
29,14,-2.4059882420390703e-15,1.1678619328581502e-14
29,15,2.1462266373297869e-16,-1.0888145483504556e-15
29,16,-3.086635904183642e-15,7.295996451345032e-15
29,17,1.1867613390157156e-16,1.032773033179266e-15
29,18,4.259846285149317e-15,6.917591464382559e-15
29,19,-7.691355758427037e-15,1.2703546595173737e-14
29,20,-2.941146474153579e-17,-8.35404899039928e-15
29,21,9.595701536919374e-15,1.178437612310922e-14
29,22,-1.1670647151978347e-14,3.851776379222264e-15
29,23,1.8006908119770577e-15,-5.882890108488595e-15
29,24,-1.5146820444432335e-16,5.961800109006314e-15
29,25,-3.2259364409269798e-15,3.0417502587710854e-15
29,26,1.2482232084431227e-15,5.906522475856853e-15
29,27,-8.122949739988891e-15,-2.6445602841020496e-15
29,28,4.7711574160905865e-15,-5.801935514597456e-15
29,29,-4.220134280054019e-15,1.0536098226044179e-14
30,0,1.3901946317379496e-14,0.0
30,1,1.1179434829704515e-13,8.392436332313203e-15
30,2,-8.537733288479586e-15,-3.276408503761056e-14
30,3,3.755567970059839e-14,-3.6767761110028555e-14
30,4,-2.8854307663673264e-16,1.5446769763304154e-14
30,5,9.848344222735025e-15,8.525307770614786e-15
30,6,-3.682680187965547e-15,-3.117685282587806e-15
30,7,4.1910832260173904e-15,2.567355575440352e-15
30,8,6.161431342126203e-15,1.9658425297989113e-14
30,9,-8.302686548332794e-15,1.8399826038955157e-15
30,10,2.3564811108482603e-14,-7.931568342826565e-15
30,11,2.0526826018095148e-15,2.180840718008029e-14
30,12,-4.096457757396125e-15,-6.828363749212089e-15
30,13,1.3347361666165304e-14,-1.1098792751176005e-16
30,14,-2.3292442605292846e-15,1.1306105560578669e-14
30,15,2.0777682905710118e-16,-1.0540845517086697e-15
30,16,-2.988181254813721e-15,7.063275523214913e-15
30,17,1.1489071264860803e-16,9.998305968126846e-16
30,18,4.1239696591418e-15,6.696940547574709e-15
30,19,-7.446024025795768e-15,1.2298340647790357e-14
30,20,-2.847332511688526e-17,-8.08757928366967e-15
30,21,9.289626748832025e-15,1.1408489022958725e-14
